Field,RowId,Schedule Name,Asset Route Flag,Asset Number,Asset Description,Asset Group,Asset Group Description,Activity,Activity Department,SCE
JAS,138,PM-WPB-E&I-CRANE LOAD DATA DOWNLOADING-MONTHLY,N,WPB-Y9910,WPB-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRDO-M01-01,OPT,NON SCE
JAS,139,PM-PPB2-E&I-CRANE LOAD DATA DOWNLOADING-MONTHLY,N,PPB2-Y9910,PPB2-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRDO-M01-01,OPT,NON SCE
JAS,140,PM-WPC-E&I-CRANE LOAD DATA DOWNLOADING-MONTHLY,N,WPC-Y9910,WPC-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRDO-M01-01,OPT,NON SCE
JAS,141,PM-WPD-E&I-CRANE LOAD DATA DOWNLOADING-MONTHLY,N,WPD-Y9910,WPD-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRDO-M01-01,OPT,NON SCE
JAS,142,PM-BYA-E&I-CRANE LOAD DATA DOWNLOADING-MONTHLY,N,BYA-Y9910,BYA-PEDESTAL CRANE,CRHO-OST-180B180,"PEDESTAL NAUTILUS CRANE, OIL STATES INDUSTRIES,MODEL 180B1-80(MS)",CRDO-M01-01,OPT,NON SCE
JAS,143,PM-WPC-E&I AIR CONDITION-ANNUAL,Y,ROUTE-WPC-PGDS-BSAC,WPC-ROUTE OF AIR CONDITION UNT,PGDS,POWER GENERATION AND DISTRIBUTION SYSTEM,BSAC-Y01-01,E&I,
JAS,144,PM-WPC-E&I LPWD MOTOR A P1801A,N,WPC-P1801A,WPC-PRODUCED WATER BOOSTER PUMP A,PUCE-FLOWSERVE-ERPN80,"PUMP, FLOWSERVE, MODEL ERPN80-400",EMAC-Y01-09,E&I,NON SCE
JAS,145,PM-WPC-MECH AIR COMPRESSOR B K4010B,N,WPC-K4010B,WPC-AIR COMPRESSOR PACKAGE UNIT B,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M06-01,MECH,NON SCE
JAS,146,PM-WPC-MECH AIR COMPRESSOR B K4010B,N,WPC-K4010B,WPC-AIR COMPRESSOR PACKAGE UNIT B,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M03-01,MECH,NON SCE
JAS,147,PM-WPC-MECH AIR COMPRESSOR B K4010B,N,WPC-K4010B,WPC-AIR COMPRESSOR PACKAGE UNIT B,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y01-01,MECH,NON SCE
