Field,RowId,Schedule Name,Asset Route Flag,Asset Number,Asset Description,Asset Group,Asset Group Description,Activity,Activity Department,SCE
JAS,216,PM-PPB2-E&I ABB ACTIVE FILTER,N,PPB2-PQFI,PPB2-ACTIVE FILTE,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M06-01,E&I,NON SCE
JAS,217,PM-PPB2-E&I ABB ACTIVE FILTER,N,PPB2-PQFI,PPB2-ACTIVE FILTE,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y01-01,E&I,NON SCE
JAS,218,PM-PPB2-E&I ABB ACTIVE FILTER,N,PPB2-PQFI,PPB2-ACTIVE FILTE,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y04-01,E&I,NON SCE
JAS,219,PM-PPB2-E&I ABB ACTIVE FILTER,N,PPB2-PQFI,PPB2-ACTIVE FILTE,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y07-01,MTN-BKK,NON SCE
JAS,220,PM-PPB2-E&I ABB ACTIVE FILTER,N,PPB2-PQFI,PPB2-ACTIVE FILTE,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M01-01,E&I,NON SCE
JAS,221,PM-WPC-E&I ABB ACTIVE FILTER,N,WPC-PQFI,WPC-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M01-01,E&I,NON SCE
JAS,222,PM-WPA-E&I ABB ACTIVE FILTER,N,WPA-PQFI,WPA-ABB ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M01-01,E&I,NON SCE
JAS,223,PM-WPB-E&I ABB ACTIVE FILTER,N,WPB-PQFI,WPB-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M01-01,E&I,NON SCE
JAS,224,PM-WPD-E&I ABB ACTIVE FILTER,N,WPD-PQFI,WPD-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M06-01,E&I,NON SCE
JAS,225,PM-WPD-E&I ABB ACTIVE FILTER,N,WPD-PQFI,WPD-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y01-01,E&I,NON SCE
